sentence,labels,rule_attri
The total length of this LPG pipeline is 1415 km,"O,B-attr,I-attr,O,O,B-ent,I-ent,O,B-qty,I-qty",total length
Defensive end Rulon Jones led the line with 7 sacks,"O,O,B-ent,I-ent,O,O,O,O,B-qty,I-qty",number of sacks
 The diameter of an Oreo cookie is 1.75 inches,"O,O,B-attr,O,O,B-ent,I-ent,O,B-qty,I-qty",diameter
This presence in Russia lasted 3 years,"O,B-attr,O,B-ent,O,B-qty,I-qty",presence duration
Hyundai owns 33.88 % of Kia,"B-ent,O,B-qty,I-qty,O,B-attr",Kia share
"The Criollos entered the league 's "" Super 6 "" semifinals","O,B-ent,O,O,O,O,O,O,O,O,O",unknown
Vermont 's share is about 4.5 percent,"B-ent,I-ent,B-attr,O,O,B-qty,I-qty",share
Ballari district has 25 % of India 's Iron ore reserves,"B-ent,I-ent,O,B-qty,I-qty,O,B-attr,I-attr,I-attr,I-attr,I-attr",India's Iron ore reserves
Hạ Long city is 150 km from the airport,"B-ent,I-ent,I-ent,O,B-qty,I-qty,B-attr,I-attr,I-attr",distance from the airport
"The ENIAC was built in 30 months with 200,000 man hours","O,B-ent,O,B-attr,O,B-qty,I-qty,O,O,O,O",duration built
The bridge carries 60 to 70 percent of commercial truck traffic in the region,"O,B-ent,O,B-qty,I-qty,I-qty,I-qty,O,B-attr,I-attr,I-attr,O,O,O",commercial truck traffic
Chennai has a water table at 2 metres for 60 percent of the year,"B-ent,O,O,B-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O",water table depth
The current standards in the United States is 30 m or less,"O,B-attr,I-attr,O,O,B-ent,I-ent,O,B-qty,I-qty,O,O",current standards
""" Cadillac Man "" has a score of 55 % on review aggregator website Rotten Tomatoes based on 11 reviews","O,B-ent,I-ent,O,O,O,B-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O",score
"These archaeologists discovered that Gobero had been almost continually inhabited for 5000 years , beginning roughly from 8000 BCE onwards when the area fronted a large lake","O,O,O,O,B-ent,O,O,O,O,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O",inhabitation duration
"The wine casks had only to be carted to Auxerre , 12 miles away , where they could be shipped down the Yonne and Seine Rivers into the city","O,O,O,O,O,B-attr,O,O,I-attr,I-attr,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",distance to Auxerre
"Thomas Stothard provided several illustrations for an edition of "" The Vicar of Wakefield "" published 30 years after its first publication in 1766","O,O,O,O,O,O,O,B-ent,I-ent,O,I-ent,I-ent,I-ent,I-ent,O,B-attr,B-qty,I-qty,O,O,B-attr,I-attr,O,O",published time duration difference with first publication
"Rajaji is accessible through different gates ; the Ramgarh Gate and Mohand Gate are within 25 km of Dehradun , while the Motichur , Ranipur and Chilla Gates are just about 9 km from Haridwar","O,O,O,O,O,O,O,O,B-ent,I-ent,I-ent,I-ent,I-ent,O,O,B-qty,I-qty,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",distance from Dehradun
"Israeli singer Rika Zaraï released a cover version of the song in "" Alors je Chante "" and spent three weeks at number one in the List_of_number - one_singles_of_1969_ ( France ) from 16 August - 5 September 1969","O,O,O,O,O,O,O,O,O,O,O,O,O,B-ent,I-ent,I-ent,O,O,B-attr,B-qty,I-qty,B-attr,I-attr,I-attr,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",duration spent at number one
